product_category_name_english,total_orders,avg_review,late_rate,total_revenue
bed_bath_table,9272,3.9410005979669127,0.07275953859804792,144.0812806861875
health_beauty,8647,4.223995472552349,0.07441179781605313,165.45629066756726
sports_leisure,7530,4.214304325169359,0.0643699002719855,151.74589560937704
computers_accessories,6530,4.053084223013049,0.06299793449395102,166.66654027736797
furniture_decor,6307,4.025741381905766,0.06883679259369867,150.59965656263998
housewares,5743,4.176470588235294,0.05271186440677966,136.70598305084746
watches_gifts,5495,4.100248403122782,0.0727112676056338,230.8472235915493
telephony,4093,4.032483156881617,0.07077953132472502,93.54308464849355
auto,3810,4.1299666752114845,0.07168367346938775,179.28604081632653
toys,3804,4.228187919463087,0.06352459016393443,147.96749487704918
cool_stuff,3559,4.215768799102133,0.0584469802393543,197.6888839409964
garden_tools,3448,4.168131556563652,0.0650887573964497,170.8232854325162
perfumery,3086,4.23705808080808,0.06511481597986789,144.99357974205725
baby,2809,4.093596059113301,0.07891061452513966,172.3840118715084
electronics,2517,4.117740652346858,0.07658902487169364,81.46935254638768
stationery,2264,4.279329608938547,0.06623931623931624,123.11140598290598
fashion_bags_accessories,1820,4.198249227600412,0.05430327868852459,104.80203893442622
pet_shop,1688,4.235800344234079,0.04965753424657534,151.6773515981735
unknown,1412,3.9978858350951376,0.07137858642407278,148.4473897830651
office_furniture,1254,3.620797498045348,0.07990690457719161,278.1392785104733
luggage_accessories,1019,4.372093023255814,0.04247104247104247,168.94793436293435
consoles_games,1018,4.165369649805448,0.06075216972034716,163.9834136933462
home_appliances,747,4.219948849104859,0.04203821656050955,123.65574522292992
construction_tools_construction,736,4.104166666666667,0.07115135834411385,241.62940491591203
musical_instruments,611,4.228384991843393,0.07431340872374798,332.63420032310177
small_appliances,609,4.250819672131148,0.04715447154471545,327.6727642276423
books_general_interest,496,4.515686274509804,0.06420233463035019,110.32519455252918
home_construction,483,3.9695121951219514,0.058704453441295545,212.525
food,441,4.320454545454545,0.07207207207207207,83.98547297297299
furniture_living_room,414,4.04750593824228,0.07511737089201878,215.59415492957746
home_confort,392,3.8756218905472637,0.09405940594059406,188.25002475247524
audio,348,3.832369942196532,0.1174785100286533,166.21994269340973
drinks,287,4.239864864864865,0.05067567567567568,97.90763513513514
market_place,274,4.086956521739131,0.039568345323741004,130.09489208633093
books_technical,256,4.402298850574713,0.08015267175572519,92.31874045801526
air_conditioning,246,4.1193415637860085,0.04048582995951417,244.7315789473684
construction_tools_lights,242,4.161157024793388,0.06504065040650407,228.51963414634147
kitchen_dining_laundry_garden_furniture,241,4.125523012552302,0.04564315352697095,239.58946058091286
fashion_shoes,235,4.276679841897233,0.042801556420233464,122.57081712062256
industry_commerce_and_business,232,4.2405063291139244,0.06694560669456066,202.104769874477
home_appliances_2,227,4.1535087719298245,0.0611353711790393,517.7029694323144
food_drink,221,4.458515283842795,0.034934497816593885,91.04078602620088
fixed_telephony,212,3.966666666666667,0.046948356807511735,281.59028169014084
art,195,4.098445595854923,0.06153846153846154,143.8648717948718
costruction_tools_garden,190,4.142857142857143,0.047619047619047616,161.25657142857142
agro_industry_and_commerce,177,4.112359550561798,0.03932584269662921,430.67101123595506
computers,177,4.224137931034483,0.05649717514124294,1290.8922033898305
construction_tools_safety,159,3.9875,0.024844720496894408,284.3078881987578
signaling_and_security,138,4.1,0.0425531914893617,223.03893617021276
christmas_supplies,125,4.088,0.07874015748031496,95.3871653543307
fashion_underwear_beach,117,4.017094017094017,0.09322033898305085,96.06254237288135
fashion_male_clothing,106,3.765217391304348,0.0603448275862069,128.23206896551724
costruction_tools_tools,97,4.425531914893617,0.061855670103092786,184.88835051546394
furniture_bedroom,90,4.2555555555555555,0.06666666666666667,261.82766666666663
tablets_printing_image,79,4.1558441558441555,0.05063291139240506,116.55189873417721
small_appliances_home_oven_and_coffee,72,4.438356164383562,0.0547945205479452,688.4767123287671
cine_photo,63,4.292307692307692,0.06153846153846154,131.9743076923077
dvds_blu_ray,56,4.237288135593221,0.06779661016949153,104.35084745762711
books_imported,50,4.5,0.03571428571428571,112.00946428571429
party_supplies,38,4.078947368421052,0.0,142.07
music,38,4.2105263157894735,0.05263157894736842,181.61657894736842
furniture_mattress_and_upholstery,37,3.891891891891892,0.13513513513513514,159.58783783783784
fashio_female_clothing,36,3.9210526315789473,0.05263157894736842,91.92236842105264
flowers,29,4.392857142857143,0.034482758620689655,61.89310344827586
fashion_sport,26,4.407407407407407,0.037037037037037035,105.8725925925926
diapers_and_hygiene,25,3.96,0.0,81.8476
home_comfort_2,24,3.8260869565217392,0.125,55.51833333333334
arts_and_craftmanship,23,4.125,0.041666666666666664,96.92375
la_cuisine,13,4.25,0.0,198.41615384615383
cds_dvds_musicals,12,4.666666666666667,0.0,79.5825
fashion_childrens_clothes,7,5.0,0.0,102.71142857142857
security_and_services,2,2.5,0.0,162.255
